"No.","Time","Source","Destination","Protocol","Length","Info"
"300","6.397800","172.253.118.188","10.1.0.73","TCP","66","5228  >  63182 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"301","6.411235","142.251.12.188","10.1.0.73","TCP","66","5228  >  57989 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"302","6.517033","10.1.0.73","172.253.118.188","TCP","55","38747  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"303","6.567818","172.253.118.188","10.1.0.73","TCP","66","5228  >  38747 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"304","6.594361","CloudNetwork_32:b5:21","Broadcast","ARP","42","Who has 10.1.0.20? Tell 10.1.0.73"
"305","6.594435","CloudNetwork_32:b5:21","Broadcast","ARP","42","Who has 10.1.0.24? Tell 10.1.0.73"
"306","6.606828","GrandstreamN_ef:2c:bc","CloudNetwork_32:b5:21","ARP","42","10.1.0.1 is at c0:74:ad:ef:2c:bc"
"307","6.606828","GrandstreamN_ef:2c:bc","CloudNetwork_32:b5:21","ARP","42","10.1.0.1 is at c0:74:ad:ef:2c:bc"
"308","6.615172","10.1.0.43","224.0.0.251","MDNS","85","Standard query 0x0000 PTR 1.56.168.192.in-addr.arpa, ""QM"" question"
"309","6.616563","fe80::708:2dfd:1a83:4aee","ff02::fb","MDNS","105","Standard query 0x0000 PTR 1.56.168.192.in-addr.arpa, ""QM"" question"
"310","6.819706","10.1.0.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"311","6.922099","fe80::708:2dfd:1a83:4aee","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"312","6.922346","10.1.0.43","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
